document_id,project_id,filename,printed_amount,true_sanctioned_amount,is_seeded_mismatch
DOC_PRJ00945,PRJ00945,SANCTION_PRJ00945.png,295157.84,295157.84,False
DOC_PRJ00753,PRJ00753,SANCTION_PRJ00753.png,3993450.84,3993450.84,False
DOC_PRJ00289,PRJ00289,SANCTION_PRJ00289.png,962783.57,962783.57,False
DOC_PRJ00160,PRJ00160,SANCTION_PRJ00160.png,863347.42,863347.42,False
DOC_PRJ00612,PRJ00612,SANCTION_PRJ00612.png,3642065.96,3642065.96,False
DOC_PRJ00348,PRJ00348,SANCTION_PRJ00348.png,498071.37,498071.37,False
DOC_PRJ00848,PRJ00848,SANCTION_PRJ00848.png,883848.16,883848.16,False
DOC_PRJ00502,PRJ00502,SANCTION_PRJ00502.png,314033.9,314033.9,False
DOC_PRJ00332,PRJ00332,SANCTION_PRJ00332.png,3269763.2,3269763.2,False
DOC_PRJ00820,PRJ00820,SANCTION_PRJ00820.png,1412631.85,1091918.5,True
DOC_PRJ00362,PRJ00362,SANCTION_PRJ00362.png,4113174.93,4113174.93,False
DOC_PRJ00471,PRJ00471,SANCTION_PRJ00471.png,408866.57,346006.77,True
DOC_PRJ00425,PRJ00425,SANCTION_PRJ00425.png,1712796.55,1712796.55,False
DOC_PRJ00865,PRJ00865,SANCTION_PRJ00865.png,1455528.79,1136582.53,True
DOC_PRJ00683,PRJ00683,SANCTION_PRJ00683.png,4308035.36,2861444.8,True
DOC_PRJ00910,PRJ00910,SANCTION_PRJ00910.png,239993.41,239993.41,False
DOC_PRJ00073,PRJ00073,SANCTION_PRJ00073.png,592438.27,592438.27,False
DOC_PRJ00814,PRJ00814,SANCTION_PRJ00814.png,4453445.46,2859483.28,True
DOC_PRJ00962,PRJ00962,SANCTION_PRJ00962.png,1403683.34,931640.22,True
DOC_PRJ00630,PRJ00630,SANCTION_PRJ00630.png,5194206.17,5194206.17,False
DOC_PRJ00317,PRJ00317,SANCTION_PRJ00317.png,612463.42,612463.42,False
DOC_PRJ00024,PRJ00024,SANCTION_PRJ00024.png,1251282.26,1251282.26,False
DOC_PRJ00795,PRJ00795,SANCTION_PRJ00795.png,1485021.29,1485021.29,False
DOC_PRJ00287,PRJ00287,SANCTION_PRJ00287.png,236945.68,168906.88,True
DOC_PRJ00213,PRJ00213,SANCTION_PRJ00213.png,3607777.08,3607777.08,False
DOC_PRJ00760,PRJ00760,SANCTION_PRJ00760.png,180605.1,126544.32,True
DOC_PRJ00834,PRJ00834,SANCTION_PRJ00834.png,4001283.88,4001283.88,False
DOC_PRJ00853,PRJ00853,SANCTION_PRJ00853.png,2373735.78,2373735.78,False
DOC_PRJ00531,PRJ00531,SANCTION_PRJ00531.png,1184459.88,1184459.88,False
DOC_PRJ00566,PRJ00566,SANCTION_PRJ00566.png,806006.52,614021.8,True
DOC_PRJ00890,PRJ00890,SANCTION_PRJ00890.png,403417.19,403417.19,False
