project_id,mp_id,constituency,state,district,category,description,sanctioned_amount,expenditure,unit_cost_basis,status,recommendation_date,sanction_date,implementing_agency,marked_complete_by_ia,contractor_id,site_latitude,site_longitude,photo_latitude,photo_longitude,is_seeded_anomalous,seeded_anomaly_types
PRJ00022,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Community Hall,"Community Hall at Maharashtra District 2, Ward 19",4760422.0,4566351.27,4760422.0,Completed,2025-02-14,2025-04-10,Panchayati Raj Engineering Department,False,CTR0030,19.54134,75.858767,19.54134,75.858767,False,
PRJ00023,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Road Construction,"Road Construction at Maharashtra District 2, Ward 19",3808270.48,3343576.85,3808270.48,Completed,2025-02-17,2025-03-05,Zilla Parishad PWD Division,True,CTR0098,19.14893,75.809072,19.14893,75.809072,False,
PRJ00024,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Road Construction,"Road Construction at Maharashtra District 2, Ward 17",1251282.26,1096317.16,1251282.26,Completed,2024-07-16,2024-08-10,Public Works Department (PWD),True,CTR0098,19.929125,75.564082,19.929125,75.564082,False,
PRJ00025,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Public Toilet Complex,"Public Toilet Complex at Maharashtra District 2, Ward 14",269147.2,264195.13,269147.2,Payment Released,2024-09-19,2024-11-14,Panchayati Raj Engineering Department,False,CTR0118,19.40953,75.891981,19.40953,75.891981,False,
PRJ00026,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Public Toilet Complex,"Public Toilet Complex at Maharashtra District 2, Ward 11",706133.11,610074.58,706133.11,Completed,2025-03-01,2025-04-10,Public Works Department (PWD),True,CTR0012,20.176659,76.180502,20.176659,76.180502,False,
PRJ00027,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Drainage System,"Drainage System at Maharashtra District 2, Ward 11",2246378.12,2208331.13,2246378.12,Sanctioned,2026-05-27,2026-06-23,Municipal Corporation Engineering Cell,False,CTR0086,20.035851,75.870438,20.035851,75.870438,False,
PRJ00028,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Drinking Water Supply,"Drinking Water Supply at Maharashtra District 2, Ward 13",2276819.21,1938437.34,2276819.21,Sanctioned,2026-07-29,2026-08-25,Cantonment Board Works Wing,False,CTR0089,19.221766,75.896202,19.221766,75.896202,False,
PRJ00029,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Sports Infrastructure,"Sports Infrastructure at Maharashtra District 2, Ward 9",2101074.75,1991386.44,2101074.75,Payment Released,2026-01-13,2026-02-21,Zilla Parishad PWD Division,False,CTR0005,19.369123,75.954615,19.369123,75.954615,False,
PRJ00030,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Drainage System,"Drainage System at Maharashtra District 2, Ward 17",2302851.36,2250768.95,2302851.36,Payment Released,2026-05-05,2026-06-16,Public Works Department (PWD),False,CTR0015,19.889135,75.78197,19.889135,75.78197,False,
PRJ00031,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Road Construction,"Road Construction at Maharashtra District 2, Ward 14",1413849.94,1408126.09,1413849.94,Completed,2025-01-28,2025-04-12,Public Works Department (PWD),True,CTR0085,19.571717,76.170456,19.571717,76.170456,False,
PRJ00032,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Road Construction,"Road Construction at Maharashtra District 2, Ward 25",2722996.32,2394293.76,2722996.32,Sanctioned,2026-06-08,2026-08-10,Panchayati Raj Engineering Department,False,CTR0025,19.966943,75.436927,19.966943,75.436927,False,
PRJ00033,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Public Toilet Complex,"Public Toilet Complex at Maharashtra District 2, Ward 7",335966.21,333644.45,335966.21,Sanctioned,2026-05-25,2026-08-17,District Rural Development Agency,False,CTR0081,20.197837,75.54419,20.197837,75.54419,False,
PRJ00034,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,School Building Repair,"School Building Repair at Maharashtra District 2, Ward 15",970731.47,965434.18,970731.47,Work In Progress,2025-08-08,2025-10-25,Zilla Parishad PWD Division,False,CTR0071,20.123611,75.453339,20.123611,75.453339,False,
PRJ00035,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Public Toilet Complex,"Public Toilet Complex at Maharashtra District 2, Ward 20",482768.11,450673.77,482768.11,Sanctioned,2025-05-08,2025-05-30,Cantonment Board Works Wing,False,CTR0016,20.223386,75.935236,20.223386,75.935236,False,
PRJ00036,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Street Lighting,"Street Lighting at Maharashtra District 2, Ward 1",611255.42,532411.17,611255.42,Payment Released,2024-11-08,2025-01-14,Panchayati Raj Engineering Department,False,CTR0091,19.721996,76.152848,19.721996,76.152848,False,
PRJ00037,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Sports Infrastructure,"Sports Infrastructure at Maharashtra District 2, Ward 15",2577700.66,2304564.34,2577700.66,Work In Progress,2024-07-14,2024-10-05,District Rural Development Agency,False,CTR0053,20.071233,76.072136,20.071233,76.072136,False,
PRJ00038,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Community Hall,"Community Hall at Maharashtra District 2, Ward 23",3458980.47,3354326.52,3458980.47,Completed,2024-09-11,2024-12-01,Public Works Department (PWD),True,CTR0083,19.879957,75.94236,19.879957,75.94236,False,
PRJ00039,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,School Building Repair,"School Building Repair at Maharashtra District 2, Ward 16",1428160.42,1440941.53,1428160.42,Payment Released,2025-11-14,2026-01-12,Public Works Department (PWD),False,CTR0017,19.658718,75.751174,19.658718,75.751174,True,cost_inflation
PRJ00040,MP001,Maharashtra-18,Maharashtra,Maharashtra District 2,Public Toilet Complex,"Public Toilet Complex at Maharashtra District 2, Ward 13",528200.17,490347.49,528200.17,Completed,2025-03-28,2025-04-18,Municipal Corporation Engineering Cell,False,CTR0032,20.023992,75.358985,20.023992,75.358985,False,
PRJ00041,MP002,West-7,West Bengal,West District 1,Library / Reading Room,"Library / Reading Room at West District 1, Ward 3",890761.02,842316.52,890761.02,Completed,2025-06-03,2025-07-12,Municipal Corporation Engineering Cell,True,CTR0066,23.17131,88.471022,23.17131,88.471022,False,
PRJ00042,MP002,West-7,West Bengal,West District 1,School Building Repair,"School Building Repair at West District 1, Ward 11",687498.05,592464.14,687498.05,Completed,2024-08-24,2024-10-30,Public Works Department (PWD),True,CTR0099,22.330421,88.455178,22.330421,88.455178,False,
PRJ00043,MP002,West-7,West Bengal,West District 1,Sports Infrastructure,"Sports Infrastructure at West District 1, Ward 24",937212.39,831810.15,937212.39,Completed,2025-02-12,2025-03-19,Zilla Parishad PWD Division,True,CTR0035,22.959072,88.157515,22.959072,88.157515,False,
PRJ00044,MP002,West-7,West Bengal,West District 1,School Building Repair,"School Building Repair at West District 1, Ward 16",1528214.45,1439208.36,1528214.45,Payment Released,2025-09-08,2025-11-18,Cantonment Board Works Wing,False,CTR0108,22.80352,87.597277,22.80352,87.597277,False,
PRJ00045,MP002,West-7,West Bengal,West District 1,Borewell / Handpump,"Borewell / Handpump at West District 1, Ward 11",83886.24,79469.39,83886.24,Completed,2025-07-24,2025-08-15,Zilla Parishad PWD Division,True,CTR0015,23.326553,88.144389,23.228514,88.124544,True,phantom_work
PRJ00046,MP002,West-7,West Bengal,West District 1,Sports Infrastructure,"Sports Infrastructure at West District 1, Ward 11",2309135.3,1978456.97,2309135.3,Completed,2025-05-05,2025-07-23,Public Works Department (PWD),True,CTR0098,22.749535,88.051032,22.749535,88.051032,False,
PRJ00047,MP002,West-7,West Bengal,West District 1,Street Lighting,"Street Lighting at West District 1, Ward 2",272200.82,257600.76,272200.82,Payment Released,2025-04-12,2025-05-26,Public Works Department (PWD),False,CTR0023,23.002931,88.428276,23.085008702334406,88.34008282474788,True,geo_mismatch
PRJ00048,MP002,West-7,West Bengal,West District 1,Drainage System,"Drainage System at West District 1, Ward 13",2839028.22,2822501.06,2839028.22,Sanctioned,2026-06-13,2026-07-05,Public Works Department (PWD),False,CTR0096,23.386421,87.534949,23.386421,87.534949,False,
PRJ00049,MP002,West-7,West Bengal,West District 1,Borewell / Handpump,"Borewell / Handpump at West District 1, Ward 17",145670.45,147913.28,145670.45,Payment Released,2026-05-27,2026-08-11,Municipal Corporation Engineering Cell,False,CTR0016,22.682771,88.31385,22.682771,88.31385,True,cost_inflation
PRJ00050,MP002,West-7,West Bengal,West District 1,Library / Reading Room,"Library / Reading Room at West District 1, Ward 4",1017625.7,977185.92,1017625.7,Completed,2026-01-29,2026-04-10,Public Works Department (PWD),True,CTR0043,23.264177,87.638441,23.264177,87.638441,False,
PRJ00051,MP002,West-7,West Bengal,West District 1,Sports Infrastructure,"Sports Infrastructure at West District 1, Ward 5",3470565.94,3143648.04,3470565.94,Completed,2024-05-28,2024-08-15,Cantonment Board Works Wing,True,CTR0117,23.231696,87.708964,23.231696,87.708964,False,
PRJ00052,MP002,West-7,West Bengal,West District 1,Drinking Water Supply,"Drinking Water Supply at West District 1, Ward 3",1951916.35,1689322.27,1951916.35,Completed,2024-09-28,2024-11-06,Municipal Corporation Engineering Cell,True,CTR0112,23.383063,87.906303,23.383063,87.906303,False,
PRJ00053,MP002,West-7,West Bengal,West District 1,Public Toilet Complex,"Public Toilet Complex at West District 1, Ward 22",558661.76,550732.84,558661.76,Payment Released,2024-06-02,2024-07-30,Zilla Parishad PWD Division,False,CTR0009,22.683176,88.440074,22.764567186538482,88.36954924598113,True,geo_mismatch
PRJ00054,MP002,West-7,West Bengal,West District 1,Sports Infrastructure,"Sports Infrastructure at West District 1, Ward 23",1418860.09,1366158.21,1418860.09,Payment Released,2026-04-27,2026-06-18,Cantonment Board Works Wing,False,CTR0049,23.249895,88.247542,23.249895,88.247542,False,
PRJ00055,MP002,West-7,West Bengal,West District 1,Public Toilet Complex,"Public Toilet Complex at West District 1, Ward 3",210436.7,192808.33,210436.7,Payment Released,2026-05-03,2026-05-28,Panchayati Raj Engineering Department,False,CTR0112,23.365245,87.721098,23.365245,87.721098,False,
PRJ00056,MP002,West-7,West Bengal,West District 1,Street Lighting,"Street Lighting at West District 1, Ward 8",721132.97,623901.46,721132.97,Work In Progress,2026-04-17,2026-07-02,Zilla Parishad PWD Division,False,CTR0081,22.400928,88.141163,22.400928,88.141163,False,
PRJ00057,MP002,West-7,West Bengal,West District 1,Community Hall,"Community Hall at West District 1, Ward 23",4472459.58,3858505.63,4472459.58,Completed,2024-08-23,2024-11-17,Cantonment Board Works Wing,True,CTR0056,22.749125,87.744771,22.749125,87.744771,True,duplicate_photo
PRJ00058,MP002,West-7,West Bengal,West District 1,Community Hall,"Community Hall at West District 1, Ward 1",5679486.75,5960743.46,5679486.75,Sanctioned,2026-04-12,2026-06-02,Zilla Parishad PWD Division,False,CTR0057,22.809066,88.387625,22.809066,88.387625,True,cost_inflation
PRJ00059,MP002,West-7,West Bengal,West District 1,Road Construction,"Road Construction at West District 1, Ward 12",460061.81,459215.82,460061.81,Payment Released,2025-09-28,2025-11-03,Zilla Parishad PWD Division,False,CTR0042,23.000043,88.454607,23.000043,88.454607,True,split_tender
PRJ00060,MP002,West-7,West Bengal,West District 1,Drainage System,"Drainage System at West District 1, Ward 14",283424.81,242745.97,283424.81,Work In Progress,2024-06-06,2024-06-26,Panchayati Raj Engineering Department,False,CTR0056,23.369372,87.933241,23.369372,87.933241,False,
PRJ00061,MP002,West-7,West Bengal,West District 1,Library / Reading Room,"Library / Reading Room at West District 1, Ward 6",920010.57,854197.32,920010.57,Payment Released,2025-06-30,2025-08-31,Municipal Corporation Engineering Cell,False,CTR0088,23.055278,88.134898,23.055278,88.134898,False,
PRJ00062,MP002,West-7,West Bengal,West District 1,Community Hall,"Community Hall at West District 1, Ward 22",3838434.42,3288835.7,3838434.42,Completed,2024-07-29,2024-09-16,Panchayati Raj Engineering Department,True,CTR0079,22.637156,88.440494,22.637156,88.440494,False,
PRJ00063,MP002,West-7,West Bengal,West District 1,Street Lighting,"Street Lighting at West District 1, Ward 8",358035.89,329233.6,358035.89,Payment Released,2026-04-01,2026-06-28,Municipal Corporation Engineering Cell,False,CTR0064,22.724023,88.000387,22.724023,88.000387,False,
PRJ00064,MP002,West-7,West Bengal,West District 1,Public Toilet Complex,"Public Toilet Complex at West District 1, Ward 22",1185521.28,1103026.14,1185521.28,Payment Released,2025-02-01,2025-02-28,Zilla Parishad PWD Division,False,CTR0082,22.671433,88.276554,22.671433,88.276554,False,
PRJ00065,MP002,West-7,West Bengal,West District 1,Road Construction,"Road Construction at West District 1, Ward 22",4125894.17,4094826.14,4125894.17,Completed,2025-07-07,2025-09-29,Zilla Parishad PWD Division,True,CTR0116,23.170863,88.036098,23.170863,88.036098,False,
PRJ00066,MP002,West-7,West Bengal,West District 1,Sports Infrastructure,"Sports Infrastructure at West District 1, Ward 19",540177.88,489654.77,540177.88,Work In Progress,2025-03-29,2025-05-11,Zilla Parishad PWD Division,False,CTR0021,23.484731,87.4805,23.484731,87.4805,True,duplicate_photo
PRJ00067,MP002,West-7,West Bengal,West District 1,School Building Repair,"School Building Repair at West District 1, Ward 9",1715814.06,1579070.5,1715814.06,Payment Released,2026-04-27,2026-07-15,Cantonment Board Works Wing,False,CTR0082,22.797783,87.628088,22.797783,87.628088,False,
PRJ00068,MP002,West-7,West Bengal,West District 1,Public Toilet Complex,"Public Toilet Complex at West District 1, Ward 16",1003546.06,1003039.8,1003546.06,Payment Released,2024-05-18,2024-08-04,Public Works Department (PWD),False,CTR0109,22.966518,88.222785,22.966518,88.222785,False,
PRJ00069,MP002,West-7,West Bengal,West District 1,Community Hall,"Community Hall at West District 1, Ward 19",2086210.13,1813696.66,2086210.13,Work In Progress,2025-12-25,2026-02-28,Zilla Parishad PWD Division,False,CTR0031,23.444861,88.02741,23.444861,88.02741,False,
PRJ00070,MP002,West-7,West Bengal,West District 1,School Building Repair,"School Building Repair at West District 1, Ward 13",1312630.83,1138095.09,1312630.83,Payment Released,2024-10-27,2024-12-20,Cantonment Board Works Wing,False,CTR0090,23.105888,87.924369,23.105888,87.924369,False,
PRJ00071,MP002,West-7,West Bengal,West District 1,School Building Repair,"School Building Repair at West District 1, Ward 25",1733926.7,1619731.49,1733926.7,Payment Released,2026-04-27,2026-05-14,Cantonment Board Works Wing,False,CTR0002,23.351984,87.784179,23.351984,87.784179,False,
PRJ00072,MP002,West-7,West Bengal,West District 1,Road Construction,"Road Construction at West District 1, Ward 10",3471576.47,3317480.02,3471576.47,Work In Progress,2026-07-08,2026-08-18,Public Works Department (PWD),False,CTR0117,22.555557,87.463646,22.555557,87.463646,False,
PRJ00073,MP002,West-7,West Bengal,West District 1,Street Lighting,"Street Lighting at West District 1, Ward 21",592438.27,542449.06,592438.27,Completed,2025-05-02,2025-07-14,Municipal Corporation Engineering Cell,True,CTR0078,23.38499,87.717907,23.38499,87.717907,False,
PRJ00074,MP002,West-7,West Bengal,West District 1,Street Lighting,"Street Lighting at West District 1, Ward 25",616565.03,611896.45,616565.03,Payment Released,2025-06-28,2025-08-01,Cantonment Board Works Wing,False,CTR0080,22.476488,88.411905,22.476488,88.411905,False,
PRJ00075,MP002,West-7,West Bengal,West District 1,Borewell / Handpump,"Borewell / Handpump at West District 1, Ward 21",203966.65,188443.31,203966.65,Sanctioned,2026-01-29,2026-02-18,Cantonment Board Works Wing,False,CTR0081,22.694502,88.060081,22.694502,88.060081,False,
PRJ00076,MP002,West-7,West Bengal,West District 1,Road Construction,"Road Construction at West District 1, Ward 19",841294.83,734269.85,841294.83,Payment Released,2026-02-25,2026-04-06,District Rural Development Agency,False,CTR0040,22.466593,88.06905,22.466593,88.06905,False,
PRJ00077,MP002,West-7,West Bengal,West District 1,Drainage System,"Drainage System at West District 1, Ward 11",2716168.13,2580722.77,2716168.13,Sanctioned,2026-07-01,2026-07-28,Zilla Parishad PWD Division,False,CTR0094,22.506784,87.530747,22.506784,87.530747,False,
PRJ00078,MP002,West-7,West Bengal,West District 1,Drinking Water Supply,"Drinking Water Supply at West District 1, Ward 12",912898.75,788110.4,912898.75,Work In Progress,2026-02-03,2026-03-17,Panchayati Raj Engineering Department,False,CTR0023,22.444763,87.852935,22.444763,87.852935,False,
PRJ00079,MP002,West-7,West Bengal,West District 1,Sports Infrastructure,"Sports Infrastructure at West District 1, Ward 9",1960593.54,1678065.78,1960593.54,Payment Released,2026-04-06,2026-06-25,Municipal Corporation Engineering Cell,False,CTR0065,23.259292,88.05348,23.259292,88.05348,False,
PRJ00080,MP002,West-7,West Bengal,West District 1,Public Toilet Complex,"Public Toilet Complex at West District 1, Ward 4",1116916.02,1074278.28,1116916.02,Completed,2026-02-01,2026-03-15,Zilla Parishad PWD Division,True,CTR0104,23.197912,87.521425,23.158586,87.510185,True,phantom_work
PRJ00081,MP003,Maharashtra-3,Maharashtra,Maharashtra District 2,Community Hall,"Community Hall at Maharashtra District 2, Ward 22",990752.66,948152.71,990752.66,Completed,2025-06-07,2025-06-30,Municipal Corporation Engineering Cell,True,CTR0019,20.174248,75.714013,20.174248,75.714013,False,
PRJ00082,MP003,Maharashtra-3,Maharashtra,Maharashtra District 2,Drinking Water Supply,"Drinking Water Supply at Maharashtra District 2, Ward 3",1471757.99,1310433.42,1471757.99,Completed,2025-11-15,2025-12-15,Zilla Parishad PWD Division,True,CTR0109,19.552741,75.124085,19.552741,75.124085,False,
PRJ00083,MP003,Maharashtra-3,Maharashtra,Maharashtra District 2,Drinking Water Supply,"Drinking Water Supply at Maharashtra District 2, Ward 15",563476.69,529126.51,563476.69,Payment Released,2025-07-06,2025-07-27,District Rural Development Agency,False,CTR0002,19.914923,76.047005,19.914923,76.047005,False,
PRJ00084,MP003,Maharashtra-3,Maharashtra,Maharashtra District 2,Drainage System,"Drainage System at Maharashtra District 2, Ward 19",1727042.99,1661097.44,1727042.99,Payment Released,2025-12-03,2026-01-14,Zilla Parishad PWD Division,False,CTR0087,19.617991,75.253096,19.617991,75.253096,False,
PRJ00085,MP003,Maharashtra-3,Maharashtra,Maharashtra District 2,Drinking Water Supply,"Drinking Water Supply at Maharashtra District 2, Ward 4",1721017.93,1554792.57,1721017.93,Payment Released,2026-01-30,2026-02-21,Zilla Parishad PWD Division,False,CTR0106,20.283818,75.82693,20.283818,75.82693,False,
PRJ00086,MP003,Maharashtra-3,Maharashtra,Maharashtra District 2,Street Lighting,"Street Lighting at Maharashtra District 2, Ward 11",264644.35,231326.21,264644.35,Sanctioned,2026-01-21,2026-04-13,Panchayati Raj Engineering Department,False,CTR0061,19.32388,75.442114,19.32388,75.442114,False,
PRJ00087,MP003,Maharashtra-3,Maharashtra,Maharashtra District 2,Library / Reading Room,"Library / Reading Room at Maharashtra District 2, Ward 15",304303.87,277391.09,304303.87,Payment Released,2025-07-20,2025-10-15,Cantonment Board Works Wing,False,CTR0029,20.278854,75.234447,20.278854,75.234447,False,
PRJ00088,MP003,Maharashtra-3,Maharashtra,Maharashtra District 2,School Building Repair,"School Building Repair at Maharashtra District 2, Ward 2",1757912.83,1562231.51,1757912.83,Completed,2024-06-21,2024-08-16,Municipal Corporation Engineering Cell,True,CTR0084,19.305065,75.902372,19.305065,75.902372,False,
PRJ00089,MP003,Maharashtra-3,Maharashtra,Maharashtra District 2,Road Construction,"Road Construction at Maharashtra District 2, Ward 4",1475912.19,1295934.39,1475912.19,Completed,2025-06-16,2025-07-19,District Rural Development Agency,False,CTR0039,19.488415,75.610524,19.488415,75.610524,False,
PRJ00090,MP003,Maharashtra-3,Maharashtra,Maharashtra District 2,Street Lighting,"Street Lighting at Maharashtra District 2, Ward 15",607965.03,569776.15,607965.03,Completed,2025-06-11,2025-06-29,Public Works Department (PWD),True,CTR0114,19.285235,75.677368,19.285235,75.677368,False,
PRJ00091,MP003,Maharashtra-3,Maharashtra,Maharashtra District 2,Drainage System,"Drainage System at Maharashtra District 2, Ward 21",619640.36,618707.2,619640.36,Completed,2024-12-20,2025-03-02,Public Works Department (PWD),True,CTR0022,20.071849,75.405569,20.154859333198512,75.32674013600969,True,geo_mismatch
PRJ00092,MP003,Maharashtra-3,Maharashtra,Maharashtra District 2,Community Hall,"Community Hall at Maharashtra District 2, Ward 9",5633551.55,5603998.14,5633551.55,Completed,2024-07-12,2024-08-09,Public Works Department (PWD),False,CTR0107,19.249157,75.977041,19.249157,75.977041,False,
PRJ00093,MP003,Maharashtra-3,Maharashtra,Maharashtra District 2,Road Construction,"Road Construction at Maharashtra District 2, Ward 15",3412706.73,3331737.93,3412706.73,Work In Progress,2026-02-22,2026-03-21,Public Works Department (PWD),False,CTR0089,19.267727,76.054321,19.267727,76.054321,False,
PRJ00094,MP003,Maharashtra-3,Maharashtra,Maharashtra District 2,Street Lighting,"Street Lighting at Maharashtra District 2, Ward 12",273199.35,259479.16,273199.35,Payment Released,2024-08-14,2024-09-27,Cantonment Board Works Wing,False,CTR0110,19.727679,75.530597,19.727679,75.530597,False,
